State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,KADAPA,Dry chillies,2002-03,Kharif,3839,Hectare,5854,Tonnes,1.52487627
Andhra Pradesh,KADAPA,Dry chillies,2002-03,Rabi,356,Hectare,687,Tonnes,1.929775281
Andhra Pradesh,KADAPA,Dry chillies,2003-04,Kharif,3422,Hectare,8422,Tonnes,2.46113384
Andhra Pradesh,KADAPA,Dry chillies,2003-04,Rabi,314,Hectare,656,Tonnes,2.089171975
Andhra Pradesh,KARIMNAGAR,Dry chillies,2001-02,Kharif,6989,Hectare,13230,Tonnes,1.892974674
Andhra Pradesh,KARIMNAGAR,Dry chillies,2001-02,Rabi,2324,Hectare,6403,Tonnes,2.755163511
Andhra Pradesh,KARIMNAGAR,Dry chillies,2002-03,Kharif,9430,Hectare,12985,Tonnes,1.376988335
Andhra Pradesh,KARIMNAGAR,Dry chillies,2002-03,Rabi,1577,Hectare,3920,Tonnes,2.485732403
Andhra Pradesh,KARIMNAGAR,Dry chillies,2003-04,Kharif,10138,Hectare,17133,Tonnes,1.689978299
Andhra Pradesh,KARIMNAGAR,Dry chillies,2003-04,Rabi,2052,Hectare,6696,Tonnes,3.263157895
Andhra Pradesh,KHAMMAM,Dry chillies,2001-02,Kharif,15133,Hectare,62514,Tonnes,4.130972048
Andhra Pradesh,KHAMMAM,Dry chillies,2001-02,Rabi,6962,Hectare,25697,Tonnes,3.691037058
Andhra Pradesh,KHAMMAM,Dry chillies,2002-03,Kharif,15358,Hectare,42219,Tonnes,2.748990754
Andhra Pradesh,KHAMMAM,Dry chillies,2002-03,Rabi,5194,Hectare,18127,Tonnes,3.489988448
Andhra Pradesh,KHAMMAM,Dry chillies,2003-04,Kharif,19619,Hectare,65724,Tonnes,3.35001784
Andhra Pradesh,KHAMMAM,Dry chillies,2003-04,Rabi,6505,Hectare,29487,Tonnes,4.532974635
Andhra Pradesh,KRISHNA,Dry chillies,2001-02,Kharif,9791,Hectare,34885,Tonnes,3.562965989
Andhra Pradesh,KRISHNA,Dry chillies,2001-02,Rabi,1417,Hectare,2850,Tonnes,2.011291461
